perodFrom,periodTo,zoneFrom,zoneTo,Auto,Transit
0,1,7,39,0.01588609,0.003534419
0,1,7,40,0.018423,0.004100594
0,1,8,1,0.02727063,0.004921526
0,1,8,2,0.06086604,0.01098448
0,1,8,3,0.02607251,0.004705301
0,1,8,4,0.7168256,0.1293656
0,1,8,5,3.603806,0.650377
0,1,8,6,4.41297,0.7964082
0,1,8,7,4.746633,0.8566247
0,1,8,8,3.110313,0.5613177
0,1,8,9,2.184434,0.3942248
0,1,8,10,0.003361644,0.0006066756
0,1,8,11,0.4415704,0.07969023
0,1,8,12,4.544359,0.8201208
0,1,8,13,1.855941,0.3349414
0,1,8,14,1.666117,0.3006839
0,1,8,15,1.357797,0.2450414
0,1,8,16,1.705623,0.3078133
0,1,8,17,1.570704,0.2834646
0,1,8,18,1.041252,0.1879146
0,1,8,19,0.02281286,0.004117035
0,1,8,20,0.007785713,0.001405088
0,1,8,21,0.01652174,0.002981676
0,1,8,22,0.4328343,0.07811359
0,1,8,23,0.07926457,0.01430487
0,1,8,24,0.4448929,0.08028983
0,1,8,25,0.00845528,0.001525924
0,1,8,30,0.005007459,0.0009036963
0,1,8,32,0.00166823,0.0003010654
0,1,8,33,0.002616495,0.0004721986
0,1,8,34,0.009652189,0.00174193
0,1,8,35,0.01069626,0.001930354
0,1,8,36,0.01141534,0.002060128
0,1,8,37,0.002406327,0.0004342697
0,1,8,38,0.008592362,0.001550663
0,1,8,39,0.01761718,0.003179369
0,1,8,40,0.0195963,0.003536542
0,1,9,1,0.03653396,0.008697649
0,1,9,2,0.1049071,0.02497525
0,1,9,3,0.04022617,0.009576662
0,1,9,4,3.169965,0.7546771
0,1,9,5,1.174255,0.2795552
0,1,9,6,2.237618,0.5327104
0,1,9,7,3.267162,0.7778142
0,1,9,8,1.880026,0.4475781
0,1,9,9,11.27901,2.685198
0,1,9,10,0.006180331,0.001471354
0,1,9,11,2.317381,0.5516996
0,1,9,12,3.78177,0.9003262
0,1,9,13,1.878452,0.4472031
