TAZ,car,hh,population,gil0,gil1,gil2,gil3,gil4,gil5,industry,other,service,workplace,superZone,IntExt,xi,yi,Students,area,socio,vehAdultFactor,SZ_new,ssz,settl_size,ORTHO,ARABS,REST,childEdu,adultEdu
211,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,210.036605,759.686035,0,0.95,0,1,2,2,1,0,0,1,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,210.18013,759.077209,0,0.61,0,1,2,2,1,0,0,1,0,0
213,0,0,0,0,0,0,0,0,0,858.9868719,73.28370137,267.6618612,1199.971624,2,2,208.529479,760.255981,2613,0.96,5,1,2,2,3,0,0,1,0,2613
214,1400.8,1359.3,4304.3,601.6,673.1,443.8,510.7,1439.8,635.3,539.5934567,46.03493608,168.138296,753.7913063,2,2,209.146896,759.616149,439,0.39,4,1,2,2,3,0,0.31,0.69,439,0
215,1798,1647.8,5524.9,772.2,864,569.7,655.5,1848.1,815.4,307.6495725,26.2468498,95.86416262,429.7746207,2,2,209.339828,758.727966,132,0.42,4,1,2,2,3,0.02,0.32,0.66,132,0
216,2218.2,2084.6,6816.2,952.7,1065.9,702.8,808.7,2280.1,1006,672.8177998,57.40085249,209.651242,939.9005899,2,2,208.532836,759.41156,2243,1.13,6,1,2,2,3,0.03,0.31,0.66,2243,0
217,626.9,740.9,1926.2,269.2,301.2,198.6,228.5,644.3,284.3,1403.52386,119.7403905,437.3405705,1960.668853,2,2,208.772689,758.293212,79,0.66,4,1,2,2,3,0,0.31,0.69,79,0
218,0,0,0,0,0,0,0,0,0,121.5229718,10.36762431,37.86677755,169.7629178,2,2,208.88829,757.290832,0,1.32,4,1,2,2,3,0,0,1,0,0
219,1039.4,1064.6,3193.8,446.4,499.5,329.3,378.9,1068.3,471.4,75.8882481,42.14268578,200.4677301,318.4865817,2,2,207.83638,761.055969,235,0.61,8,1,2,2,3,0.04,0.31,0.65,235,0
220,1086.7,1113.1,3339.3,466.7,522.2,344.3,396.2,1117,492.9,125.7580547,69.83666533,332.2046878,527.7793859,2,2,207.428085,760.514343,172,0.44,4,1,2,2,3,0,0.31,0.69,172,0
221,950.7,1007.4,2921.4,408.3,456.8,301.2,346.6,977.2,431.2,86.06560415,47.79443198,227.3524127,361.1987463,2,2,207.23468,759.717285,1247,0.23,2,1,2,2,3,0,0.31,0.69,1247,0
222,1298.4,1596.3,3989.8,557.7,623.9,411.4,473.3,1334.6,588.9,111.8884676,62.13452873,295.5665426,469.5717252,2,2,207.734146,759.6734,594,0.31,3,1,2,2,3,0.01,0.32,0.67,594,0
223,929.4,768.9,2855.9,399.2,446.6,294.5,338.8,955.3,421.5,105.1837443,58.41122437,277.8552278,441.4334502,2,2,207.589614,759.348327,0,0.14,4,1,2,2,3,0,0.31,0.69,0,0
224,0,0,0,0,0,0,0,0,0,218.6617761,121.4284787,577.620791,917.6762326,2,2,207.938522,759.114196,0,0.13,4,1,2,2,3,0,0,1,0,0
225,3108,2536.5,9550.3,1334.8,1493.5,984.7,1133,3194.6,1409.6,1333.366523,740.4525446,3522.244444,5595.851226,2,2,207.183319,758.692199,3325,0.92,3,1,2,2,3,0,0.31,0.69,3325,0
226,0,0,0,0,0,0,0,0,0,360.6378195,390.4149804,356.0280285,1107.021155,2,2,208.353378,756.794555,0,0.58,3,1,2,2,3,0,0,1,0,0
227,0,0,0,0,0,0,0,0,0,458.9827295,496.8800377,453.1158616,1408.902682,2,2,208.679473,756.020874,0,1.03,3,1,2,2,3,0,0,1,0,0
228,0,0,0,0,0,0,0,0,0,458.9827295,496.8800377,453.1158616,1408.902682,2,2,209.038925,755.14569,0,1.45,3,1,2,2,3,0,0,1,0,0
